Código;enunciado;alternativas;disciplina;topico;topico_id;score_similaridade;metodo_classificacao;confianca
TJAP22-40;O promotor de justiça da Infância e Juventude de Macapá recebe denúncia anônima, através do serviço “Disque 100”, noticiando que Josenildo, dirigente da entidade de acolhimento institucional do município, tem se apropriado indevidamente de itens alimentícios encaminhados pela Prefeitura para as crianças e adolescentes em acolhimento. Após a confirmação da ocorrência dos fatos, o promotor de justiça ajuíza representação para apuração de irregularidade em entidade de atendimento não governamental, em conformidade com o rito procedimental previsto na Lei nº 8.069/1990 para essa hipótese. Após regular citação, o dirigente continua a se apropriar dos alimentos, levando-os para a sua casa, e deixando os acolhidos sem proteína em sua alimentação diária. Em virtude disso, o promotor de justiça requer o afastamento provisório do dirigente da entidade de acolhimento. Considerando o disposto na Lei nº 8.069/1990 (ECA), é correto afirmar que:;"(A) em virtude do princípio da celeridade processual, o ECA não prevê a realização de audiência de instrução e julgamento para o procedimento de apuração de irregularidades em entidades; | (B) caso defira o pedido de afastamento provisório do dirigente, o magistrado deverá nomear diretamente interventor para gerir a entidade, dentre as pessoas de conduta ilibada na comarca; | (C) não há previsão legal para afastamento provisório do dirigente da entidade, antes de concluída a instrução do procedimento; | (D) antes de aplicar qualquer das medidas, a autoridade judiciária poderá fixar prazo para a remoção das irregularidades verificadas; | (E) caso julgado procedente o pedido, será aplicável ao dirigente da entidade a pena privativa de liberdade, a ser fixada em consonância com a gravidade de sua conduta, conforme previsão do ECA. BLOCO II Direito Penal";DIREITO CONSTITUCIONAL;Acesso à justiça. Devido processo legal. Contraditório e ampla defesa. Isonomia. Princípios e garantias fundamentais dos processos civil, penal e administrativo.;4;0.51;groq;alta
TJAP22-41;Determinada investigação foi instaurada para apurar fraude, ocorrida em 02 de julho de 2020, em Macapá, na obtenção de auxílio emergencial concedido pelo Governo Federal, por meio da Caixa Econômica Federal, em decorrência da pandemia da Covid19. Jack declarou na investigação que realizou depósito em sua conta do “ComércioRemunerado”, no valor de R$ 600,00 e depois percebeu que aquela quantia foi transferida para Russel, sendo que não foi Jack quem realizou a operação financeira nem a autorizou. Russel assinalou que a aludida quantia foi realmente transferida para sua conta no “ComércioRemunerado” e foi declarada como pagamento de conserto de motocicleta, para enganar os órgãos competentes e conseguir a antecipação do auxílio emergencial. Disse que foi Fênix, proprietária de uma loja de manutenção de telefones celulares, quem lhe propôs a prática de tais condutas, acrescentando que seria um procedimento legal, e ainda ofereceu R$ 50,00 para cada antecipação passada em sua máquina do “ComércioRemunerado”, sendo que Jack praticou a conduta quatro vezes. Disse ainda que o dinheiro entrava em sua conta no “ComércioRemunerado” e era transferido para a conta de Fênix. O auxílio emergencial era disponibilizado pela União, por meio da Caixa Econômica Federal. O crime supostamente praticado nesse caso é o de:;"(A) estelionato; | (B) furto mediante fraude; | (C) apropriação indébita; | (D) apropriação indébita previdenciária; | (E) peculato.";DIREITO PENAL;Iter Criminis. Consumação e tentativa. Crime impossível. Desistência voluntária e arrependimento eficaz. Arrependimento posterior.;5;0.50;groq;alta
TJAP22-42;Sobre os delitos praticados durante a pandemia do coronavírus, no que concerne à dosimetria, é correto afirmar que a agravante prevista no Art. 61, inciso II, alínea “j”, do Código Penal (“em ocasião de incêndio, naufrágio, inundação ou qualquer calamidade pública, ou de desgraça particular do ofendido”):;"(A) incide durante todo o período em que for reconhecida a existência da pandemia, independentemente do nexo de causalidade; | (B) incide durante todo o período em que for reconhecida a existência da pandemia, dependendo do nexo de causalidade; | (C) incide enquanto for reconhecida a existência da pandemia, independentemente do nexo de causalidade; | (D) incide enquanto for reconhecida a existência da pandemia, dependendo do nexo de causalidade; | (E) não deve incidir, em razão da inconstitucionalidade das agravantes de perigo abstrato. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 14";DIREITO PENAL;"Dos crimes em espécie. Dos crimes previstos na parte especial do Código Penal: dos crimes contra a pessoa; dos crimes contra o patrimônio; dos crimes contra a organização do trabalho; dos crimes contra a dignidade sexual; dos crimes contra a fé pública; dos crimes contra a administração pública e administração da justiça.";1;0.54;groq;alta
TJAP22-43;Quando o Tribunal de Justiça, em julgamento de apelação criminal exclusiva da defesa, afasta uma circunstância judicial negativa do Art. 59 do Código Penal, reconhecida no édito condenatório de primeiro grau, deve:;"(A) manter a pena final inalterada; | (B) reduzir ao mínimo legal a pena-base; | (C) devolver ao primeiro grau para nova sentença; | (D) compensar o valor final nas demais fases; | (E) reduzir proporcionalmente a pena-base.";DIREITO PROCESSUAL PENAL;Julgamento de apelação criminal;nenhum;0.65;groq;baixa
TJAP22-44;A individualização da pena é submetida aos elementos de convicção judiciais acerca das circunstâncias do crime. A jurisprudência e a doutrina passaram a reconhecer, como regra, como critério ideal para individualização da reprimendabase o aumento:;"(A) na fração de 1/4 por cada circunstância; | (B) na fração de 1/6 por cada circunstância; | (C) na fração de 1/8 por cada circunstância; | (D) no quantum determinado de seis meses; | (E) no quantum determinado de oito meses.";DIREITO PENAL;Das penas. Teoria da pena. Cominação e aplicação das penas e dos substitutivos penais. Concurso de crimes e crime continuado. Concurso aparente de normas. Erro na execução e Resultado diverso do pretendido.;2;0.63;groq;alta
TJAP22-45;A prisão do agente em local conhecido por venda de drogas:;"(A) faz incidir causa de aumento de pena; | (B) faz incidir agravante genérica; | (C) faz incidir agravante específica; | (D) impõe a exasperação da pena-base; | (E) não afasta a possibilidade de aplicação de tráfico privilegiado.";DIREITO PENAL;"Dos crimes em espécie. Dos crimes previstos na parte especial do Código Penal: dos crimes contra a pessoa; dos crimes contra o patrimônio; dos crimes contra a organização do trabalho; dos crimes contra a dignidade sexual; dos crimes contra a fé pública; dos crimes contra a administração pública e administração da justiça. Crimes previstos nas Leis ns. 7.716/89, 12.288/2010 e 13.869/ 2019.";5;0.58;groq;alta
TJAP22-46;Sobre os institutos da desistência voluntária, do arrependimento eficaz e do arrependimento posterior, é correto afirmar que:;"(A) a não consumação, por circunstâncias alheias à vontade do agente, é compatível com a desistência voluntária; | (B) o reconhecimento da desistência voluntária dispensa o exame do iter criminis; | (C) as circunstâncias inerentes à vontade do agente são irrelevantes para a configuração da desistência voluntária; | (D) o arrependimento eficaz e a desistência voluntária somente são aplicáveis a delito que não tenha sido consumado; | (E) o reconhecimento da desistência voluntária dispensa o exame do elemento subjetivo da conduta.";DIREITO PENAL;Iter Criminis. Consumação e tentativa. Crime impossível. Desistência voluntária e arrependimento eficaz. Arrependimento posterior.;dir_pen_007;0.75;embedding;media
TJAP22-47;Quanto à valorização artificial de bens ou falsa especulação com ativos (reverse flips), no crime de lavagem de capitais, é correto afirmar que:;"(A) o lavador adquire o bem por valor bastante inferior ao valor de mercado, registrando no instrumento do negócio jurídico um valor nominal igual ao da aquisição, pagando a diferença informalmente; | (B) após a compra, o lavador deve realizar benfeitorias no bem, o revender a terceiro, registrando no instrumento do negócio jurídico valor fictício, atenuando o valor do tributo correspondente devido; | (C) o lavador adquire o bem por valor bastante superior ao valor de mercado, registrando no instrumento do negócio jurídico um valor nominal igual ao da aquisição, recebendo a diferença em relação ao valor real informalmente; | (D) após a compra, o lavador, realizando ou não benfeitorias no bem, o revende a terceiro, registrando no instrumento do negócio jurídico seu valor superior, visando regularizar o valor negociado informalmente; | (E) o lavador adquire o bem pelo seu valor de mercado, registrando no instrumento do negócio jurídico um valor nominal inferior ao da aquisição, pagando a diferença informalmente.";DIREITO CIVIL;Propriedade. Definição. Elementos. Classificação. Extensão da propriedade. Restrições à propriedade. Aquisição ou constituição da propriedade.;5;0.54;groq;alta
TJAP22-48;Sobre o chamado “direito penal transitório”, houve quebra do princípio da continuidade normativo-típica, com a consequente abolitio criminis por meio da revogação de um tipo penal no caso de:;"(A) apropriação indébita previdenciária; | (B) crimes contra a honra praticados por meio da imprensa; | (C) rapto violento ou mediante fraude; | (D) crimes contra a propriedade industrial; | (E) roubo majorado pelo emprego de arma branca. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 15";DIREITO PENAL;"A Norma Penal. Características, fontes, interpretação, vigência e aplicação. Lei penal no tempo e no espaço; do tempo e do lugar do crime. Limites da aplicação da lei penal em relação às pessoas.";5;0.67;groq;alta
TJAP22-49;Veículos autônomos são aqueles motorizados cujo movimento no trânsito é, de diversas formas, determinado por algoritmo préprogramado, e não por pessoa sentada ao volante. Por trás de uma máquina autônoma, há uma pessoa física que, de alguma forma, interferiu em seu funcionamento, normalmente pela programação e inserção de dados. Assim, em relação à imputação subjetiva do resultado, se reconhece a possibilidade de ocorrência de crime doloso ou culposo. Nas hipóteses de punibilidade culposa, é correto afirmar que:;"(A) quem introduz no mundo um agente inteligente, com capacidade de aprendizagem conforme as informações sejam inseridas, pode negar sua responsabilidade pelos danos causados por reações equivocadas não previsíveis; | (B) os robôs com inteligência artificial são agentes morais genuínos e sua programação interna funciona segundo um sistema de “méritos” e “deméritos” para certas decisões que eles tomam; | (C) os denominados “algoritmos de acidente”, aqueles que selecionam vítimas em casos de inevitável colisão no tráfego dos carros autônomos, geram responsabilidade penal pela morte decorrente de atropelamento; | (D) os robôs com inteligência artificial são máquinas que completam suas tarefas conforme sua programação, que equivale à autodeterminação humana sobre razões morais; | (E) a possibilidade de programar o veículo para escolher uma vida para sacrificar, com o intuito de salvar outras, quando o acidente for inevitável, atrai a incidência do estado de necessidade, excluindo a responsabilidade do programador. Direito Processual Penal";NOÇÕES GERAIS DE DIREITO E FORMAÇÃO HUMANÍSTICA;Direito Digital. 4a Revolução industrial. Tecnologia no contexto jurídico. Automação do processo. Inteligência Artificial e Direito.;3;0.56;groq;alta
TJAP22-50;Determinada investigação foi instaurada para apurar estelionato consistente em fraude, ocorrido em 02 de julho de 2020, em Macapá, na obtenção de auxílio emergencial concedido pelo Governo Federal, por meio da Caixa Econômica Federal, em decorrência da pandemia da Covid-19. Jack declarou na investigação que realizou depósito em sua conta do “ComércioRemunerado”, no valor de R$ 600,00 e depois percebeu que aquela quantia foi transferida para Russel, sendo que não foi Jack quem realizou a operação financeira nem a autorizou. Russel assinalou que a aludida quantia foi realmente transferida para sua conta no “ComércioRemunerado” e foi declarada como pagamento de conserto de motocicleta, para enganar os órgãos competentes e conseguir a antecipação do auxílio emergencial. Disse que foi Fênix, proprietária de uma loja de manutenção de telefones celulares, quem lhe propôs a prática de tais condutas, acrescentando que seria um procedimento legal, e ainda ofereceu R$ 50,00 para cada antecipação passada em sua máquina do “ComércioRemunerado”, sendo que Jack praticou a conduta quatro vezes. Disse ainda que o dinheiro entrava em sua conta no “ComércioRemunerado” e era transferido para a conta de Fênix. O auxílio emergencial era disponibilizado pela União, por meio da Caixa Econômica Federal. A competência para o processo e julgamento do presente caso é do(a):;"(A) Justiça Federal em primeiro grau; | (B) Justiça Federal em segundo grau; | (C) Justiça Estadual em primeiro grau; | (D) Justiça Estadual em segundo grau; | (E) Superior Tribunal de Justiça.";DIREITO PROCESSUAL CIVIL;Execução de títulos extrajudiciais. Execução por quantia certa contra devedor solvente. Execução de obrigação de fazer, não-fazer e entrega de coisa. Execução fiscal. Execução contra a Fazenda Pública.;4;0.52;groq;alta
TJAP22-51;A intimação de réu solto assistido pela Defensoria Pública ou patrocinado por advogado dativo, quanto à sentença penal condenatória, deve ocorrer:;"(A) por publicação no órgão da imprensa oficial; | (B) por meio eletrônico; | (C) pessoalmente; | (D) na pessoa do seu patrono; | (E) em audiência.";DIREITO PROCESSUAL PENAL;Nenhum dos tópicos listados;;0.61;groq;baixa
TJAP22-52;Nas hipóteses de colaboração premiada, a combinação das Leis nº 9.807/1999 e 11.343/2006, permite a concessão da seguinte sanção premial não originariamente prevista na Lei de Drogas:;"(A) diminuição de pena; | (B) progressão de regime; | (C) fixação de regime inicial mais benéfico; | (D) improcessabilidade; | (E) perdão judicial.";DIREITO PENAL;Das penas. Teoria da pena. Cominação e aplicação das penas e dos substitutivos penais. Concurso de crimes e crime continuado. Concurso aparente de normas. Erro na execução e Resultado diverso do pretendido.;1;0.59;groq;alta
TJAP22-53;O Superior Tribunal de Justiça tem entendido, quanto ao ingresso forçado em domicílio, que não é suficiente apenas a ocorrência de crime permanente, sendo necessárias fundadas razões de que um delito está sendo cometido, para assim justificar a entrada na residência do agente, ou, ainda, a autorização para que os policiais entrem no domicílio. Segundo a nova orientação jurisprudencial, a comprovação dessa autorização, com prova da voluntariedade do consentimento, constitui:;"(A) interesse processual do acusado; | (B) interesse processual da acusação; | (C) faculdade da acusação; | (D) faculdade do acusado; | (E) ônus da acusação.";DIREITO PROCESSUAL CIVIL;Provas: objeto, fonte e meios. Provas atípicas e convencionadas. Normas fundamentais do Direito probatório. Proibição de prova ilícita. Ônus da prova.;4;0.59;groq;alta
TJAP22-54;Em relação ao procedimento dos crimes dolosos contra a vida, é correto afirmar que é:;"(A) inadmissível a pronúncia do réu, sem qualquer lastro probatório produzido em juízo, fundamentada exclusivamente em elementos informativos colhidos na fase inquisitorial; | (B) admissível a pronúncia do réu, sem qualquer lastro probatório produzido em juízo, fundamentada exclusivamente em elementos informativos colhidos na fase inquisitorial; | (C) inadmissível a pronúncia do réu, com lastro probatório produzido em juízo, fundamentada supletivamente em elementos informativos colhidos na fase inquisitorial; | (D) admissível a pronúncia do réu, sem qualquer lastro probatório produzido em juízo, desde que haja pedido de produção de provas em plenário; | (E) inadmissível a pronúncia do réu, com lastro probatório produzido em juízo, sem que haja a reprodução perante o Conselho de Sentença. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 16";DIREITO PROCESSUAL PENAL;Procedimento dos crimes dolosos contra a vida;2;0.66;groq;alta
TJAP22-55;No que tange à oitiva das testemunhas arroladas pela acusação em audiência de instrução e julgamento, na forma do Art. 212 do Código de Processo Penal, é correto afirmar que:;"(A) a nulidade pela alteração da ordem de inquirição deve indicar o prejuízo gerado; | (B) é possível ao juiz formular perguntas de forma detalhada, após as partes; | (C) a ordem de inquirição pode ser alterada no caso de ausência momentânea de uma das partes; | (D) havendo atuação comedida, o juiz pode iniciar a inquirição da testemunha; | (E) o juiz pode intervir, a qualquer momento, diante de ilegalidade na condução do depoimento.";DIREITO PROCESSUAL PENAL;Fase instrutória: conceito e características. Provas: objeto, fonte e meios. Provas atípicas e convencionadas. Normas fundamentais do Direito probatório. Proibição de prova ilícita. Ônus da prova. Estândares probatórios. Provas em espécie e sua produção. Produção antecipada de prova. Audiência de instrução e julgamento.;3;0.62;groq;alta
TJAP22-56;Na hipótese de agente que tem contra si condenação definitiva a cinco anos de reclusão em regime fechado e mandado de prisão pendente de cumprimento, o pedido de antecipação da expedição da sua guia de recolhimento ou expedição de carta de execução de sentença deve ser:;"(A) deferido, visando possibilitar a análise de pedido de progressão de regime ou de prisão domiciliar pelo Juízo competente; | (B) indeferido, pois a expedição tem como pressuposto o cumprimento do mandado de prisão; | (C) indeferido, pois a expedição tem como pressuposto o início do cumprimento da pena privativa de liberdade; | (D) indeferido, por permitir a administração, à distância, da execução da própria pena; | (E) deferido, permitindo o cômputo de prazos aquisitivos de benefícios executórios a seu favor.";DIREITO PROCESSUAL PENAL;Execução Penal;não listado explicitamente;0.60;groq;media
TJAP22-57;Nos processos envolvendo pluralidade de réus ou de fatos imputados, o juízo progressivo de admissibilidade da imputação pode resultar no acolhimento parcial da pretensão acusatória, comportando uma única demanda múltiplos resultados: recebimento da denúncia em relação à parte dos réus ou dos fatos, rejeição da denúncia em relação à parte dos réus ou dos fatos e/ou absolvição sumária em relação à parte dos réus ou dos fatos. No caso de absolvição sumária parcial, seja em relação a um crime, seja em relação a um acusado, com base no Art. 397, inciso III, do Código de Processo Penal, será cabível:;"(A) apelação, com interposição em primeiro grau e apresentação das razões diretamente no tribunal; | (B) recurso em sentido estrito, com interposição em primeiro grau e apresentação das razões diretamente no tribunal; | (C) apelação, com a formação de instrumento por meio da extração de traslado dos autos; | (D) recurso em sentido estrito, com a formação de instrumento por meio da extração de traslado dos autos; | (E) correição parcial, com reprodução integral dos autos para instruir o recurso.";DIREITO PROCESSUAL CIVIL;"Petição inicial. Requisitos e controle de admissibilidade. Pedido. Pedido (alteração, aditamento e cumulação); pedidos alternativo, sucessivo e subsidiário. Interpretação dos atos postulatórios. Audiência de conciliação ou mediação. Resposta do réu (contestação, reconvenção, exceções). Providências preliminares e julgamento conforme o estado do processo. Saneamento e organização do processo. Eficiência processual. Gestão do procedimento pelo juiz.";dir_proc_civ_007;0.73;embedding;media
TJAP22-58;À luz do princípio da obrigatoriedade da ação penal pública, o Ministério Público tem o poder-dever de oferecer a denúncia, quando reunidos os requisitos e condições que determinem autoria, coautoria ou participação e existência de uma infração penal. Essa obrigatoriedade persiste mesmo com o exercício da ação penal. Assim, abre-se ao titular da ação penal pública um poder-dever de aditar a denúncia quando reunidos elementos de prova ou de informação que indiquem uma divergência com a proposição inicial. No que concerne ao aditamento da denúncia, é correto afirmar que:;"(A) o recebimento do aditamento da denúncia, que traz modificação fática substancial, enseja a interrupção da prescrição; | (B) o recebimento do aditamento da denúncia, para inclusão de corréu, constitui causa interruptiva da prescrição para os demais imputados; | (C) o recebimento da denúncia, na sua versão original, pode ser considerado termo inicial para efeito de contagem prescricional relativamente aos imputados incluídos posteriormente por aditamento; | (D) admite-se o aditamento da denúncia a qualquer tempo, enquanto não transitado em julgado o processo, desde que observados o contraditório e a ampla defesa; | (E) constitui requisito para o oferecimento de aditamento da denúncia a existência de novas provas, desde que até o final da instrução probatória. Direito Constitucional";DIREITO PROCESSUAL PENAL;Ação Penal Pública;3;0.67;groq;alta
TJAP22-59;"Ao disciplinar o procedimento a ser observado no julgamento das contas do chefe do Poder Executivo, o Regimento Interno da Câmara dos Vereadores do Município Alfa, situado na Região Norte do país, dispôs o seguinte: (1) a Câmara somente julga as contas de governo, não as de gestão, prevalecendo, em relação às últimas, o juízo de valor do Tribunal de Contas do respectivo Estado; (2) as contas não impugnadas por qualquer vereador, partido político ou cidadão, no prazo de sessenta dias, a contar do recebimento do parecer prévio do Tribunal de Contas, são tidas como aprovadas; (3) o parecer prévio do Tribunal de Contas somente deixará de prevalecer pelo voto da maioria de dois terços dos membros da Câmara Municipal. Considerando a disciplina estabelecida na Constituição da República de 1988 a respeito da matéria, é correto afirmar que:";"(A) apenas o comando 1 é constitucional; | (B) apenas o comando 3 é constitucional; | (C) apenas os comandos 1 e 2 são constitucionais; | (D) os comandos 1, 2 e 3 são constitucionais; | (E) os comandos 1, 2 e 3 são inconstitucionais. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 17";DIREITO CONSTITUCIONAL;Poder Legislativo. Congresso Nacional: estrutura, organização, atribuições e competências. Câmara dos Deputados e Senado Federal. Processo Legislativo. Iniciativa das leis. Fiscalização Contábil, Financeira e Orçamentária. Tribunal de Contas da União: natureza e atribuições.;2;0.61;groq;alta
TJAP22-60;Maria, servidora ocupante de cargo em comissão no Município Delta, adotou João Pedro, de 11 anos de idade. Ato contínuo, consultou o regime jurídico único dos servidores públicos municipais e constatou que a licença parental básica, reconhecida aos servidores adotantes, era de noventa dias, período reduzido para trinta dias quando o adotado tivesse mais de 10 anos de idade, isso sem qualquer consideração em relação a possíveis períodos de prorrogação. No entanto, somente faziam jus a essa licença os servidores ocupantes de cargos de provimento efetivo, não aqueles livremente demissíveis pela autoridade competente. À luz da sistemática constitucional, o regime jurídico único dos servidores públicos do Município Delta:;"(A) é inconstitucional na parte que restringe a fruição da licença aos ocupantes de cargos de provimento efetivo e estabelece períodos de fruição inferiores ao da licença gestante; | (B) é inconstitucional apenas na parte em que estabelece o período de fruição de trinta dias quando o adotado tiver mais de 10 anos de idade; | (C) não apresenta qualquer vício de inconstitucionalidade em relação aos servidores que podem fruir a licença e aos respectivos períodos de fruição; | (D) é inconstitucional apenas na parte que restringe a fruição da licença aos servidores ocupantes de cargos de provimento efetivo; | (E) é inconstitucional apenas na parte em que estabelece períodos de fruição inferiores ao da licença gestante.";DIREITO ADMINISTRATIVO;Agentes públicos. Agente público: a teoria do órgão. Disciplina constitucional. Espécies. Agentes políticos: identificação. Militares: identificação. Servidores públicos: identificação. Empregados públicos: identificação. Agentes contratados por tempo determinado. Normas constitucionais comuns a todas as espécies de agentes. Cargos públicos e modalidades de provimento. Concurso público de provimento de cargo público. Princípios e regras constitucionais quanto ao concurso público. Regime disciplinar: princípios e regras constitucionais. Responsabilidade civil, criminal e administrativa do agente público. Aspectos constitucionais do regime de previdência do servidor público.;4;0.52;groq;alta
TJAP22-61;Um grupo de deputados da Assembleia Legislativa do Estado Beta apresentou projeto de lei dispondo sobre a obrigatoriedade de instalação de duas câmeras de segurança em cada unidade escolar mantida pelo Estado. O projeto foi aprovado no âmbito da Casa legislativa e sancionado pelo governador do Estado, daí resultando a promulgação da Lei estadual nº XX. À luz dos aspectos do processo legislativo descrito na narrativa e da sistemática constitucional, a Lei estadual nº XX:;"(A) apresenta vício ao dispor sobre o funcionamento dos órgãos da rede educacional estadual, matéria de iniciativa privativa do chefe do Poder Executivo, vício não convalidado pela sanção; | (B) ao acarretar aumento de despesa, sem indicação da respectiva fonte de custeio, apresenta vício de inconstitucionalidade material; | (C) ao acarretar aumento de despesa, apresenta vício de iniciativa, o qual foi convalidado pela posterior sanção do chefe do Poder Executivo; | (D) não apresenta vício de iniciativa, pois a criação de atribuições e de obrigações, para o Poder Executivo, configura atividade regular do Legislativo; | (E) não apresenta vício de iniciativa, pois, embora tenha criado obrigação para o Poder Executivo, não instituiu nova atribuição para os seus órgãos.";DIREITO CONSTITUCIONAL;Poder Legislativo. Congresso Nacional: estrutura, organização, atribuições e competências. Câmara dos Deputados e Senado Federal. Processo Legislativo. Iniciativa das leis.;3;0.53;groq;alta
TJAP22-62;Joana e sua família contrataram com a companhia aérea ZZ o serviço de transporte aéreo internacional do Brasil para a Espanha, com passagens de ida e volta. Ao desembarcarem no destino, juntamente com os demais passageiros, constataram que sua bagagem tinha se extraviado. Assim que retornaram ao Brasil, Joana e sua família ajuizaram ação de reparação de danos em face da companhia aérea ZZ, com base no Código de Defesa do Consumidor (CDC). Em sua defesa, a companhia argumentou com a existência de convenção internacional (CI), devidamente ratificada pelo Estado brasileiro antes da promulgação da Constituição da República de 1988, cuja aplicação resultaria na fixação de indenização em patamares sensivelmente inferiores. Acresça-se que a sede da multinacional está situada em país que igualmente ratificou a convenção. À luz da sistemática constitucional, o juiz de direito, ao julgar a causa, deve aplicar, nas circunstâncias indicadas:;"(A) o CDC, que somente não prevaleceria sobre a CI caso fosse mais favorável ao consumidor, o que não é o caso; | (B) a CI, que, por expressa previsão constitucional, sempre prevalece sobre as normas infraconstitucionais afetas à temática; | (C) o CDC, que tem a natureza de lei ordinária e foi editado em momento posterior à CI, afastando a sua eficácia no território brasileiro; | (D) o CDC, pois a proteção do consumidor consubstancia direito fundamental, insuscetível de ser restringido por CI; | (E) a CI, desde que a sua recepção pela Constituição da República de 1988 tenha sido reconhecida em cada Casa do Congresso Nacional, em dois turnos, pelo voto de três quintos dos seus membros.";DIREITO CIVIL;Direito do consumidor. Consumidor. Fornecedor. Direitos básicos do consumidor. Qualidade de produtos e serviços. Prevenção e reparação dos danos. Defesa do consumidor em juízo.;1;0.51;groq;alta
TJAP22-63;A instituição de assistência social ZZ, sem fins lucrativos, adquiriu, junto à sociedade empresária XX, diversos equipamentos que seriam integrados ao seu ativo permanente, visando ao pleno desenvolvimento de suas atividades regulares. Para surpresa dos seus diretores, constatou-se que, na nota fiscal emitida por XX, constava o imposto sobre circulação de mercadorias e sobre prestação de serviços de transporte interestadual e intermunicipal e comunicação (ICMS) devido pela operação de venda, na qual ZZ figurava como adquirente. Nas circunstâncias indicadas, a incidência do ICMS é:;"(A) incorreta, pois a imunidade tributária subjetiva de ZZ incide nas hipóteses em que figure como contribuinte de direito e de fato; | (B) incorreta, desde que ZZ demonstre que arcou com o ônus financeiro do respectivo tributo, por se tratar de imposto indireto; | (C) correta, pois a imunidade tributária subjetiva de ZZ somente incide quando figure como contribuinte de direito, não de fato; | (D) incorreta, desde que ZZ demonstre que o montante correspondente à desoneração tributária será aplicado em sua atividade fim; | (E) correta, pois a imunidade tributária subjetiva de ZZ não é aplicada em se tratando de impostos que incidam sobre a circulação de riquezas. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 18";DIREITO CONSTITUCIONAL;Imunidade tributária, isenção e não incidência;3;0.52;groq;alta
