Código;enunciado;alternativas;Matéria;Subtópico 1;Subtópico 2
TJGO21-16;O valor da causa;(A) é utilizado, qualquer que seja, como base de cálculo para fixação dos honorários advocatícios, nas causas em que impossível mensurar o proveito econômico. | (B) pode ser meramente estimado, e não o da condenação pretendida, nas ações nas quais se pede compensação por dano moral. | (C) constitui matéria dispositiva, não podendo ser alterado, a pedido da parte nem de ofício, se não constar de impugnação, em preliminar de contestação. | (D) corresponde à somatória dos pedidos principal e subsidiário, nas ações que contenham pedidos principal e subsidiário. | (E) deve levar em consideração o pedido de tutela final, no procedimento de tutela antecipada requerida em caráter antecedente.;V.DIREITO PROCESSUAL CIVIL;1. Normas fundamentais do processo civil (constitucionais e infraconstitucionais);sem aderencia. (subtópico não encontrado)
TJGO21-17;XPTO Ltda. foi demandada por Y, que, pretendendo atingir bens dos sócios, por vislumbrar a ocorrência de confusão patrimonial, deverá instaurar incidente de desconsideração da personalidade jurídica, o qual;(A) é decidido por sentença. | (B) deve ser instaurado ainda que o pleito conste da petição inicial e suspende o processo até que seja decidido, por decisão interlocutória. | (C) implica, se acolhido, anulação das alienações havidas em fraude à execução. | (D) é cabível apenas no cumprimento de sentença e se infrutíferas as tentativas de penhora de bens da sociedade empresária. | (E) suspende o processo, salvo se a desconsideração houver sido pleiteada na petição inicial.;II.DIREITO ADMINISTRATIVO;18. Controle da atividade administrativa;sem aderencia. (subtópico não encontrado)
TJGO21-18;No cumprimento definitivo de sentença que haja imposto condenação em quantia certa, ou já fixada em liquidação,;(A) o executado, a requerimento do exequente, será intimado a pagar voluntariamente o débito no prazo de quinze dias, já acrescido de custas e honorários advocatícios, sob pena de multa de dez por cento. | (B) serão arbitrados honorários em benefício do executado no caso de acolhimento, ainda que parcial, de impugnação ou de exceção de pré-executividade. | (C) a incidência da multa demanda prévia intimação pessoal do executado. | (D) se o executado realizar o pagamento tempestivo, ainda que parcial, não incidirá em multa. | (E) não efetuado tempestivamente o pagamento voluntário, o juiz, a pedido do exequente, determinará a expedição de mandado de penhora e avaliação.;V.DIREITO PROCESSUAL CIVIL;16. Cumprimento de sentença;sem aderencia. (subtópico não encontrado)
TJGO21-19;A penhora;(A) deve ser averbada no registro competente para que tenha efeito entre as partes do processo. | (B) incidente sobre quotas autoriza que o exequente passe a integrar a sociedade empresária, na qualidade de sócio, salvo se os demais exercerem direito de preferência na aquisição. | (C) não pode recair sobre os bens inalienáveis, seus frutos e rendimentos, mesmo que à falta de outros bens. | (D) será comunicada ao executado, em regra, por meio de intimação a seu advogado ou à sociedade de advogados a que pertença. | (E) que recaia sobre imóvel ou direito real sobre imóvel impõe a intimação do cônjuge do executado, qualquer que seja o regime de bens.;VI.DIREITO CIVIL;17. Direitos das pessoas com deficiência: inclusão, direitos e garantias legais e co;sem aderencia. (subtópico não encontrado)
TJGO21-20;De acordo com a legislação e princípios que regem a matéria,;(A) a competência em razão da matéria constitui pressuposto de constituição e de desenvolvimento válido e regular do processo e sua não observância acarreta sua extinção sem resolução do mérito. | (B) a competência em razão da matéria constitui pressuposto de constituição e de desenvolvimento válido e regular do processo e sua não observância acarreta sua extinção com resolução do mérito. | (C) a incompetência territorial, no âmbito dos Juizados Especiais Cíveis, implica extinção do processo sem resolução de mérito. | (D) a abusividade da cláusula de eleição de foro é matéria de ordem pública, e, independentemente da natureza da relação, não se sujeita à preclusão. | (E) os processos de ações conexas devem ser reunidos para decisão conjunta, ainda que um deles já tenha sido sentenciado.;V.DIREITO PROCESSUAL CIVIL;3. Competência;sem aderencia. (subtópico não encontrado)
TJGO21-21;A homologação da desistência da ação;(A) pode ser apresentada somente até a contestação. | (B) faz coisa julgada material. | (C) não resolve o mérito e impõe, ao desistente, o dever de arcar com as despesas. | (D) obsta o prosseguimento da reconvenção. | (E) deve ser precedida de anuência do réu, ainda que revel. Caderno de Prova ’A01’, Tipo 005 6 TJUGO-Juiz Substituto-PE;V.DIREITO PROCESSUAL CIVIL;10. Tutela provisória: conceito, função, espécies;sem aderencia. (subtópico não encontrado)
TJGO21-22;Mévio vendeu um carro a Tício, que se obrigou a pagá-lo em vinte e quatro prestações mensais sucessivas. No quarto mês, porém, Tício caiu em inadimplência, razão pela qual Mévio ajuizou ação de cobrança do débito vencido, a qual foi julgada procedente. Na sentença, o juiz, além dos consectários compreendidos no pedido, deverá condenar Tício ao pagamento;(A) apenas do débito vencido, sobre pena de a sentença ser considerada ultra petita. | (B) do débito vencido e das prestações vincendas, enquanto durar a obrigação, ainda que Mévio não as tenha pedido expressamente, se, no curso do processo, não forem pagas nem consignadas. | (C) apenas do débito vencido, pois é vedado ao juiz proferir sentença genérica. | (D) apenas do débito vencido, sob pena de a sentença ser considerada extra petita. | (E) do débito vencido e das prestações que se vencerem até a citação, ainda que Mévio não as tenha pedido expressamente, se, no curso do processo, não forem pagas nem consignadas.;VI.DIREITO CIVIL;7. Contratos em geral: teoria geral dos contratos;sem aderencia. (subtópico não encontrado)
TJGO21-23;A reconvenção;(A) prossegue mesmo que ocorra causa extintiva que impeça o exame de mérito da ação principal. | (B) dispensa a atribuição de valor à causa. | (C) pode ser proposta apenas pelo réu contra o próprio autor. | (D) não leva, se improcedente, à condenação em honorários advocatícios, os quais são devidos apenas pela procedência do pedido principal. | (E) só pode ser proposta se oferecida contestação.;V.DIREITO PROCESSUAL CIVIL;14. Recursos em espécie (apelação, agravo de instrumento, embargos de declaração, ag;sem aderencia. (subtópico não encontrado)
TJGO21-24;Acerca das provas, considere: I. Para que seja aplicada, a pena de confesso demanda prévia intimação pessoal para o depoimento pessoal. II. O juiz não pode indeferir a prova testemunhal ainda que os fatos hajam sido confessados. III. O perito pode escusar-se da nomeação, caso em que o juiz nomeará novo perito. IV. Findo o depoimento, a parte poderá contraditar a testemunha. Está correto o que se afirma APENAS em;(A) I. | (B) I, II e III. | (C) II, III e IV. | (D) I e III. | (E) II e IV. Direito do Consumidor;V.DIREITO PROCESSUAL CIVIL;8. Fase instrutória: conceito e características;sem aderencia. (subtópico não encontrado)
TJGO21-25;Em relação às práticas comerciais e à publicidade nas relações consumeristas, o Código de Defesa do Consumidor estabelece:;(A) Tratando-se de produtos refrigerados oferecidos ao consumidor, suas informações gerais, legalmente previstas, serão gravadas de forma indelével. | (B) É proibida a publicidade de bens e serviços por telefone, ainda que a chamada seja gratuita ao consumidor, sem anuência prévia deste. | (C) O ônus da prova da veracidade e correção da informação ou comunicação publicitária cabe a quem alega sua falsidade ou incorreção. | (D) Os fabricantes e importadores deverão assegurar a oferta de componentes e peças de reposição por todo o período de vida útil do produto, limitado ao tempo que constar no manual de garantia respectiva. | (E) A publicidade pode ser veiculada como notícia, sem necessidade de ser identificada como propaganda, desde que se refira a aspectos técnicos do produto.;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJGO21-26;De acordo com a definição do Código de Defesa do Consumidor, uma cláusula contratual em avença consumerista que estabeleça a ambas as partes a utilização compulsória de arbitragem será;(A) anulável, por se tratar de direitos disponíveis, havendo o consumidor que provar prejuízo. | (B) válida, pois a imposição foi bilateral. | (C) nula de pleno direito, sendo irrelevante que se imponha a ambas as partes a compulsoriedade. | (D) tida por inexistente, por ser contrária ao princípio constitucional da inafastabilidade da jurisdição. | (E) ineficaz, por caracterizar condição juridicamente impossível. Caderno de Prova ’A01’, Tipo 005 TJUGO-Juiz Substituto-PE 7;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJGO21-27;Em relação à responsabilidade por vício do produto, o Código de Defesa do Consumidor prevê:;(A) Relativamente aos vícios de quantidade, o fornecedor imediato será responsável quando fizer a pesagem ou a medição e o instrumento utilizado não estiver aferido segundo os padrões oficiais, nesse caso afastando-se a responsabilidade da fabricante. | (B) A ampliação do prazo para sanar o vício, ou sua redução, podem ser convencionadas, salvo na hipótese de contrato de adesão. | (C) Na hipótese de fornecimento de produtos in natura, o único responsável perante o consumidor é o fornecedor imediato, ainda que identificado claramente o produtor, cabendo àquele voltar-se regressivamente contra este. | (D) Os prazos para reclamar o vício do produto, seja de qualidade ou de quantidade, são prescricionais, uma vez que as ações são de ressarcimento material e ou moral. | (E) A contagem do prazo para demandar o reconhecimento do vício inicia-se sempre a partir da aquisição do produto.;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJGO21-28;No que se refere à proteção contratual disciplinada pelo Código de Defesa do Consumidor, considere: I. As declarações de vontade constantes de escritos particulares, recibos e pré-contratos relativos às relações de consumo vinculam o fornecedor, ensejando inclusive execução específica. II. O consumidor pode desistir do contrato no prazo de 30 dias a contar de sua assinatura ou do ato de recebimento do produto ou serviço sempre que a contratação de fornecimento de produtos e serviços ocorrer fora do estabelecimento comercial. III. Nos contratos de compra e venda de bens móveis ou imóveis mediante pagamento em prestações, bem como na alienação fiduciária em garantia deles, consideram-se nulas de pleno direito as cláusulas que estabeleçam a perda total das prestações pagas em benefício do credor que, em razão do inadimplemento, pleitear a resolução do contrato e a retomada do produto alienado. IV. Nos contratos do sistema de consórcio de produtos duráveis, a compensação ou a restituição das parcelas quitadas, terá descontada, além da vantagem econômica auferida com a fruição, os prejuízos que o desistente ou inadimplente causar ao grupo. Está correto o que se afirma APENAS em;(A) II e III. | (B) III e IV. | (C) I e II. | (D) I e IV. | (E) I, III e IV.;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJGO21-29;Cabe ao Departamento Nacional de Defesa do Consumidor, na qualidade de organismo de coordenação da política do Sistema Nacional de Defesa do Consumidor,;(A) levar ao conhecimento dos órgãos competentes crimes contra os interesses difusos e coletivos dos consumidores. | (B) fiscalizar, direta e exclusivamente, preços, abastecimento, quantidade e segurança de bens e serviços. | (C) receber, analisar, avaliar e julgar consultas, denúncias ou sugestões apresentadas por entidades representativas ou pessoas jurídicas de direito público ou privado. | (D) planejar, elaborar, propor, coordenar e executar a política nacional de proteção ao consumidor. | (E) informar, conscientizar e motivar o consumidor através de portarias, decretos e informativos.;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJGO21-30;De acordo com a jurisprudência do STJ, constante de súmula,;(A) nos contratos bancários, é possível ao julgador conhecer de ofício, da abusividade das cláusulas contratuais, por se tratar de hipótese de nulidade. | (B) o contrato de seguro por danos pessoais compreenderá sempre os danos morais. | (C) a embriaguez do segurado não exime a seguradora do pagamento de indenização prevista em contrato de seguro de vida. | (D) dada sua natureza, o Código de Defesa do Consumidor não se aplica aos empreendimentos habitacionais promovidos pelas sociedades cooperativas. | (E) o Código de Defesa do Consumidor é aplicável tanto às entidades abertas de previdência complementar como aos contratos celebrados com entidades previdenciárias fechadas.;VII.DIREITO EMPRESARIAL;8. Contratos bancários;sem aderência
TJGO21-31;No que tange às relações de consumo, a desconsideração da personalidade jurídica;(A) só se admite a desconsideração direta, não a desconsideração inversa da pessoa jurídica. | (B) poderá ocorrer sempre que a personalidade da pessoa jurídica for, de alguma forma, obstáculo ao ressarcimento de prejuízos causados aos consumidores, no que é doutrinariamente denominada a teoria menor do instituto. | (C) aplica-se também a sociedades consorciadas somente por culpa e subsidiariamente. | (D) regula-se apenas pelas normas do Código Civil, somente não se exigindo a caracterização de confusão patrimonial. | (E) só será aplicada se houver a falência da empresa em face da qual se operou a desconsideração. Caderno de Prova ’A01’, Tipo 005 8 TJUGO-Juiz Substituto-PE;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJGO21-32;No tocante à defesa do consumidor em juízo,;(A) para a defesa dos direitos e interesses protegidos pelo Código de Defesa do Consumidor admitem-se somente ações condenatórias e mandamentais, por serem demandas aptas a pleitear e conceder a tutela específica da obrigação. | (B) a indenização por perdas e danos poderá abranger danos materiais e morais e far-se-á com prejuízo de multa. | (C) nas ações coletivas não haverá adiantamento de despesas ou honorários periciais, mas incidirá como regra a condenação da associação autora em honorários de advogado, custas e despesas processuais, salvo se obtiver o benefício da gratuidade judiciária. | (D) em caso de litigância de má-fé, os diretores responsáveis pela propositura de ação coletiva serão diretamente condenados nos ônus sucumbenciais e eventuais perdas e danos, isentada a associação autora. | (E) para a tutela específica ou para a obtenção do resultado prático equivalente, poderá o juiz determinar as medidas necessárias, tais como busca e apreensão, remoção de coisas e pessoas, desfazimento de obra, impedimento de atividade nociva, além de requisição de força policial. Direito da Criança e do Adolescente;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderência
TJGO21-33;No procedimento de apuração de ato infracional, conforme determina a lei, a autoridade judiciária, ao proferir a sentença, convencida da existência de provas suficientes de autoria e materialidade da infração,;(A) determinará a realização de estudo psicossocial polidimensional para orientar a fixação da medida socioeducativa mais adequada. | (B) poderá aplicar remissão judicial se o adolescente for primário e não se tratar de fato passível de aplicação de medida de internação ou semiliberdade. | (C) fixará a medida socioeducativa mais adequada para o adolescente, individualizando, em qualquer caso, seu tempo de duração. | (D) levará em conta a capacidade de cumprimento do adolescente, entre outros critérios, ao aplicar-lhe a medida socioeducativa. | (E) decidirá o cabimento de medida socioeducativa de acordo com a idade e a maturidade do adolescente.;VII.DIREITO EMPRESARIAL;19. (subtópico não encontrado);sem aderencia. (subtópico não encontrado)
TJGO21-34;A habilitação de pretendentes à adoção, segundo regra do Estatuto da Criança e do Adolescente,;(A) resulta na inclusão dos habilitados em cadastros gerenciados por técnicos responsáveis pela política municipal de garantia do direito à convivência familiar. | (B) inicia-se com a fase de inclusão no cadastro, seguida da etapa de aproximação e preparação para o estágio de convivência. | (C) faz-se por meio de processo judicial que deverá ser concluído no prazo máximo de 120 dias, prorrogável por igual período. | (D) deverá ser renovada, mediante avaliação por equipe interprofissional, no mínimo bienalmente ou sempre que houver recusa de criança indicada. | (E) é dispensada em relação ao pretendente localizado por meio de busca ativa para adoção de adolescentes ou crianças maiores.;VI.DIREITO CIVIL;19. Aspectos gerais do direito de família e das sucessões;sem aderencia. (subtópico não encontrado)
TJGO21-35;No âmbito da proteção da população infanto-juvenil, considerando os termos expressos da normativa vigente, os conceitos de risco e vulnerabilidade, em suas diferentes modalidades, ganham relevância na medida em que;(A) a Lei do Sinase estabelece que o Plano Individual de Atendimento deverá prever atividades de integração social e medidas de redução da vulnerabilidade social do adolescente. | (B) o enfoque mais voltado à prevenção do risco social do que do risco pessoal é o que difere, segundo a Tipificação Nacional dos Serviços Socioassistenciais, os serviços de proteção social básica dos serviços de proteção social especial. | (C) a Lei Orgânica da Assistência Social dispõe que, na organização dos serviços da assistência social, serão criados programas de amparo às crianças e adolescentes em situação de risco pessoal e social. | (D) a situação de risco é utilizada no texto do Estatuto da Criança e do Adolescente como critério para fixação da competência da Justiça da Infância e Juventude em alguns casos. | (E) a Lei de Diretrizes e Bases da Educação Nacional estabelece a vulnerabilidade social como critério, entre outros, para inclusão em creche enquanto não alcançada a universalização do acesso. Caderno de Prova ’A01’, Tipo 005 TJUGO-Juiz Substituto-PE 9;III.NOÇÕES GERAIS DE DIREITO E FORMAÇÃO HUMANÍSTICA;17. (subtópico não encontrado);sem aderencia. (subtópico não encontrado)
TJGO21-36;A autoridade judiciária tem expressa permissão legal para determinar a busca e apreensão;(A) de adolescente que se ausenta da audiência de apresentação no procedimento de apuração de ato infracional por não ter sido localizado e notificado para fins de comparecimento. | (B) de adolescente que, embora compromissado, não se apresenta ao Ministério Público após liberação aos pais pela autoridade policial em casos de flagrante de ato infracional. | (C) de crianças e adolescentes que, sem autorização judicial, se desliguem de comunidades terapêuticas onde foram internados compulsoriamente para tratamento contra drogadição. | (D) para viabilizar a apresentação de adolescente ao programa de liberdade assistida em caso de descumprimento reiterado e injustificado da medida, esgotados os recursos do orientador. | (E) de adolescentes que se evadam de serviços de acolhimento institucional para permanecer com parentes de cujo convívio foram anteriormente retirados em razão de grave conflito familiar.;IV.DIREITOS HUMANOS;3. Sistema regional interamericano de proteção dos direitos humanos;sem aderencia. (subtópico não encontrado)
TJGO21-37;A equipe interprofissional destinada a assessorar a Justiça da Infância e da Juventude, segundo disposição expressa do Estatuto da Criança e do Adolescente,;(A) compõe, ao lado do comissariado e dos agentes de proteção, os três serviços auxiliares da Justiça da Infância e da Juventude. | (B) terá, em caso de ausência de servidores públicos do Poder Judiciário, suas funções exercidas, por meio de requisição, por servidores do Poder Executivo local. | (C) será composta por psicólogos, assistentes sociais e pedagogos selecionados por concurso público de provas e títulos. | (D) tem como atribuição desenvolver trabalhos de aconselhamento, orientação, encaminhamento e outros, tudo sob a imediata subordinação à autoridade judiciária. | (E) tem assegurada a livre manifestação do ponto de vista técnico, observando, contudo, as abordagens teóricas e as práticas de intervenção decorrentes de lei ou decisão judicial.;VI.DIREITO CIVIL;19. Aspectos gerais do direito de família e das sucessões;sem aderencia. (subtópico não encontrado)
TJGO21-38;A Lei no 13.431, 04 de abril de 2017, ao instituir o sistema de garantia de direitos da criança e do adolescente vítima ou testemunha de violência, denomina e define;(A) a escuta especializada como a oitiva da criança vítima realizada em local separado, por profissional especializado, preservando a imagem e a intimidade da criança. | (B) a entrevista forense como o procedimento, orientado por protocolos, de inquirição de criança ou adolescente vítima ou testemunha de violência ou negligência. | (C) o depoimento sem dano como a oitiva de crianças e adolescentes vítimas de violência sexual com observância de procedimentos que preservem sua integridade psicológica e previnam a revitimização. | (D) a escuta protegida como o procedimento humanizado de inquirição de crianças vítimas de violência ou negligência, mediada por profissionais especializados, em âmbito judicial ou extrajudicial. | (E) o depoimento especial como o procedimento de oitiva de criança ou adolescente vítima ou testemunha de violência perante autoridade policial ou judiciária.;VI.DIREITO CIVIL;19. Aspectos gerais do direito de família e das sucessões;sem aderencia. (subtópico não encontrado)
TJGO21-39;Célia deu à luz Pedro em estabelecimento de atenção à saúde da gestante, de modo que, segundo dispõe expressamente o Estatuto da Criança e do Adolescente,;(A) devem ser aplicados protocolos para rastreamento e diagnóstico de eventual depressão pós-parto em Célia, e, em caso de confirmação, com notificação compulsória à rede de proteção à criança do território da família. | (B) cometerá crime, ainda que de forma culposa, o dirigente do estabelecimento se deixar de fornecer a Célia, por ocasião da alta médica, declaração de nascimento onde constem as intercorrências do parto e do desenvolvimento de Pedro. | (C) na ausência de pais ou responsável legal, caso Célia seja adolescente, a liberação da alta hospitalar na companhia de Pedro está condicionada a prévia autorização judicial ou do Conselho Tutelar. | (D) incidirão em infração administrativa o enfermeiro ou dirigente de estabelecimento caso deixem de identificar corretamente Pedro por ocasião do parto mediante o registro de sua impressão plantar. | (E) se Célia manifestar interesse em entregar Pedro para adoção, deve o estabelecimento, ouvido o pai indicado, comunicar o fato, imediatamente, ao Ministério Público e aguardar determinação quanto ao destino da criança.;VI.DIREITO CIVIL;19. Aspectos gerais do direito de família e das sucessões;sem aderência
TJGO21-40;Sandro é dirigente de programa de atendimento socioeducativo em regime de internação, de modo que, de acordo com a legislação vigente,;(A) deve comprovar, para exercício da função, sem prejuízo de outros requisitos, formação em nível superior e experiência no trabalho com adolescentes de, no mínimo, dois anos. | (B) tem a atribuição de rever, a pedido do interessado, decisões das comissões internas responsáveis pela aplicação de sanção disciplinar ao adolescente em caso de falta grave ou média. | (C) pode, em processo judicial iniciado por auto de infração elaborado por servidor efetivo ou voluntário credenciado, ser afastado de suas funções no caso de irregularidade no programa de atendimento que dirige. | (D) pode suspender temporariamente as visitas aos adolescentes, inclusive de pais ou responsável, se existirem motivos sérios e fundados de sua prejudicialidade aos interesses do adolescente. | (E) cabe a ele, ou à direção que representa, solicitar à autoridade judiciária a liberação de visita íntima ao adolescente privado de liberdade que seja casado ou que viva, comprovadamente, em união estável. Caderno de Prova ’A01’, Tipo 005 10 TJUGO-Juiz Substituto-PE BLOCO II Direito Penal;III.NOÇÕES GERAIS DE DIREITO E FORMAÇÃO HUMANÍSTICA;1. Sociologia do Direito;sem aderencia. (subtópico não encontrado)
TJGO21-41;A ação penal é pública condicionada;(A) no crime de dano cometido por motivo egoístico. | (B) no crime de exercício arbitrário das próprias razões, se não há emprego de violência. | (C) no crime contra a honra de servidor público em razão do exercício de suas funções, admitindo-se, porém, a legitimidade concorrente do ofendido para oferecimento de queixa. | (D) nos crimes contra a liberdade sexual, se a vítima é maior de quatorze e menor de dezoito anos. | (E) no crime de estelionato, salvo, entre outras situações, se a vítima for maior de sessenta anos.;VIII.DIREITO PENAL;16. Da ação penal;sem aderencia. (subtópico não encontrado)
TJGO21-42;Quanto ao livramento condicional,;(A) a falta grave interrompe o prazo para a sua obtenção, da mesma forma que se verifica para a progressão de regime. | (B) a ausência de suspensão ou revogação antes do término do período de prova não dá ensejo à extinção da punibilidade pelo integral cumprimento da pena. | (C) é exigível o cumprimento de dois terços da pena para o condenado por associação para o tráfico, a despeito da não hediondez do delito, segundo entendimento do Superior Tribunal de Justiça. | (D) é cabível ao condenado a pena igual ou superior a dois anos, desde que comprovado o não cometimento de falta grave nos últimos vinte e quatro meses. | (E) a pena unificada para atender o limite de quarenta anos de cumprimento deve ser considerada para efeito de concessão do benefício.;VIII.DIREITO PENAL;12. Das penas;sem aderencia. (subtópico não encontrado)
TJGO21-43;Segundo entendimento do Superior Tribunal de Justiça quanto aos crimes previstos na Lei no 11.343, de 23 de agosto de 2006,;(A) é inviável a aplicação da causa especial de diminuição da pena do art. 33, § 4o, da Lei 11.343/2006, quando há condenação simultânea do agente nos crimes de tráfico de drogas e de associação para o tráfico, mas possível que a fração de redução, em caso de exclusiva condenação por tráfico, seja modulada em razão da qualidade e da quantidade de droga apreendida, além das demais circunstâncias do delito, não obstando a aplicação da minorante, por si só, a condição de “mula”. | (B) para a incidência da majorante do art. 40, V, da Lei no 11.343/2006, é desnecessária a efetiva transposição de fronteiras, bastando a demonstração inequívoca da intenção de realizar o tráfico interestadual, e, se além dela, houver a incidência de outra circunstância elencada no mesmo artigo, possível a aplicação de acréscimo acima da fração mínima com base apenas no número de causas de aumento identificadas. | (C) é desproporcional que condenações anteriores pelo delito do art. 28 da Lei no 11.343/2006 configurem reincidência e, por isso, quando cometido no interior de estabelecimento prisional, não constitui falta grave. | (D) o agente que atua diretamente na traficância e que também financia ou custeia a aquisição de drogas deve responder pela conduta autônoma prevista no art. 36 da Lei no 11.343/2006, e não pelo crime do art. 33, caput, com a causa de aumento do art. 40, VII, admitindo-se, porém, a aplicação do princípio da consunção entre os delitos do art. 33, § 1o, e do art. 34, desde que não caracterizada a existência de contextos autônomos e coexistentes, aptos a vulnerar o bem jurídico tutelado de forma distinta. | (E) acarreta bis in idem a incidência simultânea das majorantes previstas no art. 40 da Lei no 11.343/2006 aos crimes e tráfico de drogas e de associação para fins de tráfico, bem como a consideração da natureza e a quantidade da droga para justificar o aumento da pena-base e para afastar a redução prevista no art. 33, § 4o .;VIII.DIREITO PENAL;21. Dos crimes em espécie;sem aderência
TJGO21-44;No tocante às faltas graves na execução penal, a jurisprudência do Superior Tribunal de Justiça considera:;(A) O reconhecimento da falta grave no curso da execução penal justifica a perda de até 1/3 do total de dias trabalhados pelo apenado até a data do ato de indisciplina carcerária, desde que haja declaração judicial da remição. | (B) A falta disciplinar de natureza grave praticada no período estabelecido pelos decretos presidenciais que tratam de benefícios executórios impede a concessão de indulto ou de comutação da pena, desde que a penalidade tenha sido homologada antes da data de publicação das normas. | (C) A imposição da falta grave ao executado em razão de conduta praticada por terceiro, não viola, em qualquer hipótese, o princípio constitucional da intranscendência. | (D) A data da fuga é o marco inicial da prescrição para apuração da falta grave correspondente. | (E) O cometimento de falta disciplinar de natureza grave no curso da execução penal justifica a exigência de exame criminológico para fins de progressão de regime. Caderno de Prova ’A01’, Tipo 005 TJUGO-Juiz Substituto-PE 11;V.DIREITO PROCESSUAL CIVIL;13. Recursos;sem aderencia. (subtópico não encontrado)
TJGO21-45;Segundo tese fixada pelo Superior Tribunal de Justiça, os apenados que, embora tenham cometido crime hediondo ou equiparado sem resultado morte, e que não sejam reincidentes em delito de natureza semelhante, poderão progredir de regime prisional quando tiverem cumprido ao menos;(A) sessenta por cento da pena. | (B) oitenta por cento da pena. | (C) cinquenta por cento da pena. | (D) quarenta por cento da pena. | (E) setenta por cento da pena.;VIII.DIREITO PENAL;12. Das penas;sem aderencia. (subtópico não encontrado)
TJGO21-46;No que se refere ao crime de roubo,;(A) passou a ser considerado hediondo, em qualquer modalidade, pela Lei no 13.964, de 24 de dezembro de 2019. | (B) se consuma com a inversão da posse do bem mediante emprego de violência ou grave ameaça, ainda que por breve tempo e em seguida à perseguição imediata ao agente e recuperação da coisa roubada, revelando-se imprescindível, porém, a posse mansa e pacífica ou desvigiada. | (C) configura-se na forma imprópria quando o agente, antes de subtraída a coisa, emprega violência ou grave ameaça, a fim de assegurar a impunidade do crime ou a detenção da coisa para si ou para outrem. | (D) já não constitui causa de aumento da pena o emprego de arma branca. | (E) a fração de aumento pela majorante do emprego de arma de fogo dependerá da natureza do instrumento.;VIII.DIREITO PENAL;4. Teoria Geral do Crime;sem aderencia. (subtópico não encontrado)
TJGO21-47;No que se refere às penas restritivas de direitos,;(A) a prestação de serviços à comunidade é aplicável a qualquer condenação não superior a quatro anos, facultado ao condenado cumpri-la em menor tempo, nunca inferior à metade da pena privativa de liberdade, se a pena substituída foi superior a um ano. | (B) a prestação pecuniária, se não paga, não poderá ser convertida em pena privativa de liberdade e será considerada dívida de valor, aplicando-se as normas da legislação relativa à dívida ativa da Fazenda Pública. | (C) a correspondente execução independe do trânsito em julgado da condenação, mas poderá o juiz, motivadamente, alterar a forma de cumprimento da prestação de serviços à comunidade, ajustando-a às condições pessoais do condenado. | (D) o juiz poderá estabelecer condição especial para a concessão do regime aberto, sem prejuízo das gerais e obrigatórias, desde que não constitua pena substitutiva. | (E) o descumprimento injustificado da restrição, imposta em sentença condenatória ou acordada em sede de transação penal, conduz à conversão para pena privativa de liberdade.;V.DIREITO PROCESSUAL CIVIL;12. Precedentes judiciais: conceito e efeitos para o juízo;sem aderencia. (subtópico não encontrado)
TJGO21-48;No cálculo da pena,;(A) o aumento pelo crime continuado comum, incidente na terceira etapa, decorrerá da culpabilidade, dos antecedentes, da conduta social e da personalidade do agente, bem como dos motivos e das circunstâncias, aplicando-se a pena de um só dos crimes, se idênticas, ou mais grave, se diversas, até o triplo. | (B) se reconhecido o concurso formal, próprio ou impróprio, as penas de multa são aplicadas distinta e integralmente. | (C) o juiz, havendo concurso de causas de aumento ou de diminuição previstas na parte geral do Código Penal, pode limitar- -se a um só aumento ou a uma só diminuição, prevalecendo, todavia, a causa que mais aumente ou diminua. | (D) o acréscimo na pena privativa de liberdade pelo concurso formal impróprio, incidente na terceira etapa, deve considerar o número de vítimas. | (E) o arrependimento posterior como circunstância atenuante incide na segunda fase do cálculo, mas não pode conduzir a pena abaixo do mínimo legal. Direito Processual Penal;VIII.DIREITO PENAL;12. Das penas;sem aderencia. (subtópico não encontrado)
TJGO21-49;No tocante às garantias constitucionais aplicáveis ao processo penal,;(A) todos os julgamentos dos órgãos do Poder Judiciário serão públicos, e fundamentadas todas as decisões, sob pena de nulidade, podendo a lei limitar a presença, em determinados atos, às próprias partes e a seus advogados, mas não somente a estes. | (B) o civilmente identificado jamais pode ser submetido a identificação criminal, sob pena de caracterização de constrangimento ilegal. | (C) o preso tem direito à identificação do responsável por sua prisão, mas nem sempre por seu interrogatório policial. | (D) a razoável duração do processo e os meios que garantam a celeridade de sua tramitação são garantias exclusivamente aplicáveis à ação penal. | (E) a garantia do juiz natural é contemplada, mas não só, na previsão de proibição de juízo ou tribunal de exceção. Caderno de Prova ’A01’, Tipo 005 12 TJUGO-Juiz Substituto-PE;VIII.DIREITO PENAL;8. Antijuridicidade;sem aderencia. (subtópico não encontrado)
